tanggal,id_karyawan,nama_karyawan,jam_masuk,jam_jadwal,terlambat,cuaca,hari
2024-05-21,9,Karyawan_9,08:34,08:00,1,Hujan,Tuesday
2024-04-01,12,Karyawan_12,08:41,08:00,1,Berawan,Monday
2024-06-24,8,Karyawan_8,08:06,08:00,1,Cerah,Monday
2024-03-02,11,Karyawan_11,07:56,08:00,0,Hujan,Saturday
2024-06-07,15,Karyawan_15,08:55,08:00,1,Hujan,Friday
2024-08-19,18,Karyawan_18,08:02,08:00,0,Hujan,Monday
2024-08-24,6,Karyawan_6,08:55,08:00,1,Hujan,Saturday
2024-09-22,5,Karyawan_5,08:51,08:00,1,Hujan,Sunday
2024-12-31,9,Karyawan_9,08:53,08:00,1,Hujan,Tuesday
2024-11-04,13,Karyawan_13,08:54,08:00,1,Berawan,Monday
2024-10-11,5,Karyawan_5,08:58,08:00,1,Cerah,Friday
2024-12-24,5,Karyawan_5,08:53,08:00,1,Berawan,Tuesday
2024-09-10,8,Karyawan_8,07:54,08:00,0,Cerah,Tuesday
2024-02-23,4,Karyawan_4,08:01,08:00,0,Hujan,Friday
2024-01-17,8,Karyawan_8,08:59,08:00,1,Hujan,Wednesday
2024-10-14,13,Karyawan_13,08:32,08:00,1,Berawan,Monday
2024-06-08,3,Karyawan_3,08:30,08:00,1,Berawan,Saturday
2024-05-16,16,Karyawan_16,08:04,08:00,0,Hujan,Thursday
2024-01-05,20,Karyawan_20,08:20,08:00,1,Cerah,Friday
2024-06-21,19,Karyawan_19,08:48,08:00,1,Berawan,Friday
2024-09-23,9,Karyawan_9,08:07,08:00,1,Berawan,Monday
2024-11-20,8,Karyawan_8,08:59,08:00,1,Hujan,Wednesday
2024-01-13,15,Karyawan_15,08:15,08:00,1,Berawan,Saturday
2024-12-09,4,Karyawan_4,08:16,08:00,1,Hujan,Monday
2024-11-10,2,Karyawan_2,08:40,08:00,1,Hujan,Sunday
2024-02-20,20,Karyawan_20,08:15,08:00,1,Cerah,Tuesday
2024-07-22,9,Karyawan_9,08:42,08:00,1,Berawan,Monday
2024-12-19,10,Karyawan_10,07:58,08:00,0,Hujan,Thursday
2024-09-25,5,Karyawan_5,08:15,08:00,1,Berawan,Wednesday
2024-02-16,1,Karyawan_1,08:43,08:00,1,Hujan,Friday
2024-04-04,11,Karyawan_11,08:41,08:00,1,Berawan,Thursday
2024-08-31,4,Karyawan_4,08:03,08:00,0,Hujan,Saturday
2024-05-09,3,Karyawan_3,08:17,08:00,1,Cerah,Thursday
2024-05-18,2,Karyawan_2,08:13,08:00,1,Hujan,Saturday
2024-08-29,11,Karyawan_11,08:14,08:00,1,Hujan,Thursday
2024-03-17,7,Karyawan_7,08:54,08:00,1,Cerah,Sunday
2024-10-07,2,Karyawan_2,08:21,08:00,1,Hujan,Monday
2024-10-12,16,Karyawan_16,08:42,08:00,1,Hujan,Saturday
2024-08-30,5,Karyawan_5,07:59,08:00,0,Berawan,Friday
2024-12-29,9,Karyawan_9,08:56,08:00,1,Berawan,Sunday
2024-04-19,5,Karyawan_5,08:02,08:00,0,Cerah,Friday
2024-12-06,6,Karyawan_6,08:24,08:00,1,Berawan,Friday
2024-03-29,15,Karyawan_15,08:00,08:00,0,Hujan,Friday
2024-05-03,18,Karyawan_18,08:50,08:00,1,Hujan,Friday
2024-07-04,1,Karyawan_1,08:45,08:00,1,Hujan,Thursday
2024-06-15,5,Karyawan_5,08:20,08:00,1,Berawan,Saturday
2024-02-21,20,Karyawan_20,08:23,08:00,1,Hujan,Wednesday
2024-08-10,18,Karyawan_18,08:58,08:00,1,Berawan,Saturday
2024-08-08,7,Karyawan_7,08:07,08:00,1,Hujan,Thursday
2024-10-29,10,Karyawan_10,08:19,08:00,1,Cerah,Tuesday
2024-01-02,13,Karyawan_13,08:46,08:00,1,Cerah,Tuesday
2024-02-27,3,Karyawan_3,08:43,08:00,1,Cerah,Tuesday
2024-04-30,7,Karyawan_7,08:09,08:00,1,Cerah,Tuesday
2024-06-27,1,Karyawan_1,08:03,08:00,0,Cerah,Thursday
2024-09-01,17,Karyawan_17,08:21,08:00,1,Berawan,Sunday
2024-12-15,9,Karyawan_9,08:37,08:00,1,Cerah,Sunday
2024-12-23,14,Karyawan_14,08:56,08:00,1,Hujan,Monday
2024-11-09,11,Karyawan_11,08:40,08:00,1,Hujan,Saturday
2024-09-20,13,Karyawan_13,08:58,08:00,1,Hujan,Friday
2024-11-06,12,Karyawan_12,08:27,08:00,1,Cerah,Wednesday
2024-11-03,2,Karyawan_2,08:05,08:00,0,Cerah,Sunday
2024-07-04,14,Karyawan_14,08:18,08:00,1,Berawan,Thursday
2024-06-23,8,Karyawan_8,08:23,08:00,1,Berawan,Sunday
2024-07-13,20,Karyawan_20,08:12,08:00,1,Berawan,Saturday
2024-11-22,14,Karyawan_14,08:29,08:00,1,Hujan,Friday
2024-03-04,12,Karyawan_12,08:08,08:00,1,Berawan,Monday
2024-01-09,9,Karyawan_9,08:37,08:00,1,Hujan,Tuesday
2024-09-19,9,Karyawan_9,08:19,08:00,1,Berawan,Thursday
2024-11-27,19,Karyawan_19,07:57,08:00,0,Cerah,Wednesday
2024-10-08,9,Karyawan_9,08:55,08:00,1,Hujan,Tuesday
2024-08-13,11,Karyawan_11,08:06,08:00,1,Hujan,Tuesday
2024-03-05,2,Karyawan_2,07:50,08:00,0,Hujan,Tuesday
2024-09-22,16,Karyawan_16,08:35,08:00,1,Hujan,Sunday
2024-12-22,18,Karyawan_18,08:25,08:00,1,Hujan,Sunday
2024-07-11,12,Karyawan_12,08:05,08:00,0,Berawan,Thursday
2024-05-02,11,Karyawan_11,07:52,08:00,0,Hujan,Thursday
2024-06-01,5,Karyawan_5,09:00,08:00,1,Cerah,Saturday
2024-04-09,7,Karyawan_7,08:37,08:00,1,Hujan,Tuesday
2024-11-21,12,Karyawan_12,08:23,08:00,1,Hujan,Thursday
2024-07-11,1,Karyawan_1,08:54,08:00,1,Hujan,Thursday
2024-02-05,11,Karyawan_11,08:54,08:00,1,Berawan,Monday
2024-11-18,13,Karyawan_13,08:18,08:00,1,Berawan,Monday
2024-11-21,2,Karyawan_2,08:47,08:00,1,Cerah,Thursday
2024-07-22,9,Karyawan_9,08:32,08:00,1,Cerah,Monday
2024-11-18,16,Karyawan_16,08:42,08:00,1,Berawan,Monday
2024-05-15,18,Karyawan_18,08:23,08:00,1,Berawan,Wednesday
2024-09-30,17,Karyawan_17,08:33,08:00,1,Berawan,Monday
2024-12-10,20,Karyawan_20,07:58,08:00,0,Cerah,Tuesday
2024-02-25,13,Karyawan_13,08:21,08:00,1,Hujan,Sunday
2024-07-07,8,Karyawan_8,07:58,08:00,0,Berawan,Sunday
2024-03-19,18,Karyawan_18,08:45,08:00,1,Berawan,Tuesday
2024-10-11,17,Karyawan_17,08:20,08:00,1,Cerah,Friday
2024-01-15,7,Karyawan_7,08:35,08:00,1,Berawan,Monday
2024-09-28,11,Karyawan_11,08:38,08:00,1,Berawan,Saturday
2024-08-03,19,Karyawan_19,08:36,08:00,1,Cerah,Saturday
2024-09-09,4,Karyawan_4,08:22,08:00,1,Berawan,Monday
2024-09-15,2,Karyawan_2,08:56,08:00,1,Cerah,Sunday
2024-05-17,18,Karyawan_18,08:57,08:00,1,Hujan,Friday
2024-02-17,14,Karyawan_14,08:24,08:00,1,Berawan,Saturday
2024-04-12,12,Karyawan_12,08:00,08:00,0,Berawan,Friday
2024-04-11,9,Karyawan_9,08:06,08:00,1,Hujan,Thursday
2024-06-26,5,Karyawan_5,08:41,08:00,1,Berawan,Wednesday
2024-05-27,13,Karyawan_13,07:59,08:00,0,Hujan,Monday
2024-06-13,11,Karyawan_11,08:53,08:00,1,Hujan,Thursday
2024-05-25,13,Karyawan_13,08:35,08:00,1,Hujan,Saturday
2024-08-09,17,Karyawan_17,07:59,08:00,0,Hujan,Friday
2024-08-04,12,Karyawan_12,08:26,08:00,1,Hujan,Sunday
2024-09-25,10,Karyawan_10,08:20,08:00,1,Cerah,Wednesday
2024-08-28,16,Karyawan_16,08:04,08:00,0,Berawan,Wednesday
2024-05-22,6,Karyawan_6,08:52,08:00,1,Cerah,Wednesday
2024-03-28,16,Karyawan_16,08:10,08:00,1,Berawan,Thursday
2024-03-05,4,Karyawan_4,08:53,08:00,1,Berawan,Tuesday
2024-04-15,8,Karyawan_8,07:59,08:00,0,Berawan,Monday
2024-12-28,12,Karyawan_12,08:24,08:00,1,Hujan,Saturday
2024-01-12,9,Karyawan_9,08:19,08:00,1,Hujan,Friday
2024-12-05,13,Karyawan_13,08:50,08:00,1,Cerah,Thursday
2024-05-15,18,Karyawan_18,08:54,08:00,1,Berawan,Wednesday
2024-03-13,4,Karyawan_4,08:40,08:00,1,Cerah,Wednesday
2024-05-19,3,Karyawan_3,08:39,08:00,1,Berawan,Sunday
2024-01-01,15,Karyawan_15,07:58,08:00,0,Cerah,Monday
2024-09-17,12,Karyawan_12,08:24,08:00,1,Berawan,Tuesday
2024-04-05,3,Karyawan_3,08:42,08:00,1,Cerah,Friday
2024-05-18,2,Karyawan_2,08:12,08:00,1,Cerah,Saturday
2024-09-23,15,Karyawan_15,08:54,08:00,1,Cerah,Monday
2024-08-08,11,Karyawan_11,08:09,08:00,1,Cerah,Thursday
2024-09-07,18,Karyawan_18,08:18,08:00,1,Hujan,Saturday
2024-03-03,5,Karyawan_5,08:10,08:00,1,Cerah,Sunday
2024-11-20,17,Karyawan_17,08:41,08:00,1,Cerah,Wednesday
2024-03-14,15,Karyawan_15,08:38,08:00,1,Hujan,Thursday
2024-10-03,13,Karyawan_13,08:19,08:00,1,Hujan,Thursday
2024-11-01,1,Karyawan_1,08:29,08:00,1,Cerah,Friday
2024-11-22,13,Karyawan_13,08:34,08:00,1,Hujan,Friday
2024-03-28,19,Karyawan_19,08:59,08:00,1,Berawan,Thursday
2024-11-03,5,Karyawan_5,08:23,08:00,1,Cerah,Sunday
2024-05-18,17,Karyawan_17,08:32,08:00,1,Hujan,Saturday
2024-10-03,2,Karyawan_2,08:50,08:00,1,Berawan,Thursday
2024-04-29,13,Karyawan_13,08:21,08:00,1,Hujan,Monday
2024-10-10,16,Karyawan_16,08:30,08:00,1,Berawan,Thursday
2024-04-07,14,Karyawan_14,08:31,08:00,1,Hujan,Sunday
2024-07-11,11,Karyawan_11,08:38,08:00,1,Hujan,Thursday
2024-02-15,3,Karyawan_3,08:32,08:00,1,Hujan,Thursday
